,Tiempo [s],Tension [mV],Resistencia [Ohm]
0,0.0,-1.051012,100.82179
1,0.9597697257995605,-1.051023,100.82464
2,1.9094667434692383,-1.050689,100.82758
3,2.86911940574646,-1.050741,100.83048
4,3.818784475326538,-1.050741,100.83343
5,4.778470277786255,-1.050991,100.83622
6,5.728155136108398,-1.0505440000000001,100.83901
7,6.687846422195435,-1.050648,100.84182
8,7.637505054473877,-1.050304,100.84449
9,8.597182750701904,-1.050533,100.84703
10,9.5568687915802,-1.050398,100.84994
11,10.506547451019287,-1.050408,100.85246
12,11.466237306594849,-1.050127,100.85526
13,12.415902376174927,-1.0501900000000002,100.85771
14,13.37558102607727,-1.050044,100.86043
15,14.325265884399414,-1.049909,100.86297
16,15.284949541091919,-1.049805,100.86564
17,16.234660148620605,-1.0502,100.8685
18,17.194307804107666,-1.0500340000000001,100.87095
19,18.143985509872437,-1.049815,100.87374
20,19.103662490844727,-1.0498779999999999,100.87619
