,Tiempo [s],Tension generador [V],Tensión termocupla fria [V],Tensión termocupla caliente [V]
0,0.0,3.34735,-2.7884e-05,-1.9306e-05
1,1.2131335735321045,3.62589,-4.281e-05,5.2862e-05
2,2.26306414604187,3.83821,-5.656e-05,0.000123323
3,3.3219363689422607,4.0038,-6.8717e-05,0.000185126
4,4.37116003036499,4.1348,-8.0031e-05,0.000237904
5,5.422977685928345,4.24099,-9.0096e-05,0.000282757
6,6.472322702407837,4.32398,-9.9318e-05,0.00032116
7,7.518635988235474,4.39137,-0.000107915,0.000354611
8,8.567089319229126,4.44734,-0.000115576,0.000384136
9,9.625837802886963,4.49371,-0.000122696,0.000409818
10,10.672919750213623,4.53205,-0.000129877,0.000432757
11,11.727940082550049,4.56448,-0.00013605,0.000453142
12,12.777295112609863,4.59239,-0.000142597,0.000471987
13,13.824425458908081,4.61648,-0.000148602,0.000489294
14,14.872009515762329,4.63742,-0.000154025,0.000504758
15,15.928349256515503,4.6559,-0.000159177,0.000519468
16,16.98079752922058,4.67221,-0.000163799,0.000532304
17,18.026156425476074,4.6868,-0.000168316,0.000545297
18,19.075531721115112,4.69997,-0.000172438,0.000557462
19,20.124738216400146,4.71194,-0.000176549,0.000568309
20,21.184150218963623,4.72298,-0.000180723,0.000578925
21,22.230397701263428,4.7331,-0.000184449,0.000589018
22,23.27630352973938,4.74264,-0.000187905,0.000598546
23,24.334701776504517,4.75138,-0.000191361,0.000607414
24,25.380982398986816,4.7599,-0.000194525,0.000616397
25,26.426820039749146,4.76778,-0.000198116,0.000624301
26,27.485238075256348,4.77511,-0.000201415,0.000632709
27,28.52829647064209,4.78239,-0.00020434,0.000640132
28,29.58092975616455,4.78917,-0.000207442,0.000647366
29,30.636472702026367,4.79583,-0.000210273,0.000654643
30,31.682873487472534,4.80234,-0.000212688,0.00066126
31,32.731990575790405,4.80838,-0.000215664,0.000667594
32,33.787596702575684,4.81439,-0.000218048,0.000674096
33,34.83822178840637,4.8202,-0.000220973,0.000679728
34,35.88849639892578,4.82572,-0.000222961,0.00068578
35,36.939018964767456,4.8309,-0.000225407,0.00069135
36,37.98900556564331,4.83604,-0.000227541,0.000696773
37,39.037933588027954,4.84102,-0.000229653,0.000702176
38,40.08621168136597,4.84611,-0.000231694,0.000707358
39,41.13641691207886,4.85082,-0.000233234,0.000712153
40,42.18467354774475,4.85531,-0.000235097,0.000717105
41,43.234944105148315,4.85984,-0.000236971,0.000722099
42,44.284255266189575,4.86416,-0.000238522,0.000726643
43,45.332602977752686,4.86823,-0.000240426,0.000731208
44,46.38857579231262,4.87224,-0.00024205,0.000734841
45,47.44087481498718,4.87618,-0.000243382,0.000739144
46,48.492682218551636,4.87994,-0.000244975,0.000742976
47,49.53616905212402,4.88372,-0.000246182,0.000747038
48,50.58844017982483,4.88727,-0.00024741,0.000751017
49,51.63783359527588,4.89076,-0.000248878,0.000754744
50,52.694427490234375,4.89409,-0.000249919,0.00075821
51,53.742621660232544,4.89734,-0.000251334,0.00076178
52,54.79283428192139,4.90061,-0.000252511,0.000765277
53,55.848073959350586,4.9038,-0.000253239,0.000768501
54,56.89824295043945,4.90674,-0.000254478,0.000771883
55,57.9440438747406,4.90965,-0.000255539,0.000774951
56,58.999342918395996,4.9125,-0.000256383,0.000778238
