,Tiempo [s],Tension generador [V],Tensión termocupla fria [V],Tensión termocupla caliente [V]
0,0.0,-0.0490981,-0.000865506,-0.000820934
1,1.062913417816162,-0.0491379,-0.000865349,-0.000821353
2,2.108571767807007,-0.0491709,-0.000866061,-0.000821102
3,3.1620330810546875,-0.0492164,-0.000865391,-0.000821196
4,4.215575933456421,-0.0492282,-0.000865988,-0.000820976
5,5.2657670974731445,-0.0492711,-0.000866198,-0.000821081
6,6.314659595489502,-0.0492814,-0.000866449,-0.000821499
7,7.366139650344849,-0.0493385,-0.00086581,-0.000821416
8,8.413878202438354,-0.0493459,-0.000866145,-0.000821154
9,9.462936639785767,-0.0494036,-0.000866292,-0.000821164
